1628525600643,2021.08.09 19:13:20.643,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600643,2021.08.09 19:13:20.643,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600673,2021.08.09 19:13:20.673,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600674,2021.08.09 19:13:20.674,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600674,2021.08.09 19:13:20.674,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600714,2021.08.09 19:13:20.714,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600714,2021.08.09 19:13:20.714,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600715,2021.08.09 19:13:20.715,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600757,2021.08.09 19:13:20.757,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600758,2021.08.09 19:13:20.758,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600759,2021.08.09 19:13:20.759,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600798,2021.08.09 19:13:20.798,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600798,2021.08.09 19:13:20.798,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600798,2021.08.09 19:13:20.798,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600836,2021.08.09 19:13:20.836,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600837,2021.08.09 19:13:20.837,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600837,2021.08.09 19:13:20.837,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600878,2021.08.09 19:13:20.878,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
